T1,T2,T3,E
122.209,176.9946,105.1416,-14.819
120.6329,170.7823,-165.1293,-14.78905
22.38634,170.7823,-165.1293,-14.62411
77.56522,168.715,100.4838,-14.70282
-175.2654,165.2806,162.4647,-14.22365
-135.6792,163.0222,59.82205,-14.35976
-124.8676,162.8993,-35.675,-14.38253
-175.2655,162.3865,-81.17707,-14.20201
-86.49501,161.7781,122.7577,-14.53613
-159.2996,88.00392,160.2392,-14.28141
-107.1877,85.87263,159.7658,-14.49535
-137.0421,84.98092,164.0929,-14.33176
122.3448,84.98089,164.0929,-14.83103
170.7546,82.82322,122.4256,-15.39432
58.87572,82.82316,122.4256,-14.69142
-107.9402,77.43125,89.7492,-14.48071
-124.8676,72.83072,142.6831,-14.38416
-107.9402,72.74952,135.8858,-14.45598
148.1371,72.74621,135.8941,-15.04875
148.1371,72.64341,90.92759,-15.0399
6.472507,72.58408,-135.1264,-14.61917
-155.4207,72.56858,77.75789,-14.3004
-175.2655,71.33205,137.865,-14.21693
25.4108,71.3291,-81.15415,-14.66414
115.6598,71.13215,103.5364,-14.7879
164.3124,71.04605,-157.4485,-15.16002
103.4969,71.0365,-152.9346,-14.77112
123.9469,67.67957,168.587,-14.96385
-23.16653,67.42657,177.75,-14.61099
170.7546,65.13547,100.3572,-15.35232
178.6689,65.13546,100.3572,-15.68336
170.7547,65.13546,100.3572,-15.59042
-117.421,65.07555,-106.5839,-14.41064
22.53143,65.02679,-163.7867,-14.66321
125.2448,65.02675,-163.7867,-14.9868
-90.29164,64.9451,32.57232,-14.51342
85.13074,60.93794,61.00421,-14.72266
-155.4207,53.35131,57.82655,-14.30842
-101.8815,53.10045,-164.9039,-14.49652
-124.6596,53.10028,-164.9039,-14.38502
-122.4564,-59.59589,123.0656,-14.39412
22.38635,-60.22611,159.8462,-14.63226
124.4597,-62.61815,166.336,-14.98466
-40.78586,-67.71225,-88.0219,-14.59098
47.52835,-68.84976,-87.84448,-14.66622
-157.0175,-69.38614,142.9091,-14.28546
-77.47513,-69.38623,142.9091,-14.55058
-107.9402,-69.4166,140.9604,-14.48319
-94.22813,-69.47903,-118.1192,-14.50701
123.9469,-69.47904,-118.1192,-14.90104
165.2277,-69.71526,-104.8236,-15.33202
-175.2654,-70.53829,-140.1032,-14.23612
163.8596,-72.99451,-113.2084,-15.12356
-135.6792,-73.05875,177.9485,-14.35965
164.3124,-75.66131,-163.5801,-15.15383
154.934,-77.16303,-176.8453,-15.06236
-55.72424,-77.1631,-176.8453,-14.5731
-69.02452,-79.42899,-134.722,-14.56939
-146.039,-79.429,-134.7219,-14.31817
165.2277,-80.58628,-130.7279,-15.24117
121.6044,-80.58632,-130.7279,-14.80249
123.9469,-84.1021,-120.4333,-14.96949
55.46183,-163.4656,-135.2397,-14.67804
-155.4207,-163.4656,-135.2397,-14.30379
-112.2456,-163.6011,160.4662,-14.45378
134.0944,-175.2382,61.35265,-14.99159
78.07031,-175.2382,61.35269,-14.70437
-112.7166,-175.2804,-12.59772,-14.45181
-137.0421,-175.3055,-88.14146,-14.34351
-159.2996,-178.9443,-135.1402,-14.24785
-112.9001,-178.9459,76.41679,-14.42564
106.3271,-178.9486,31.59532,-14.77847
94.14899,-178.9526,89.85839,-14.75775
-146.039,-178.9859,10.83382,-14.32055
141.5831,-179.04,-103.4667,-15.01227
123.9468,-179.1138,-69.68891,-14.86246
94.14895,-179.166,-119.0571,-14.74419
-44.44186,-179.1741,53.12994,-14.57736
83.35397,-179.238,159.9034,-14.72257
-175.2655,-179.2568,146.9281,-14.15165
123.9468,-179.2569,146.9281,-14.88736
165.135,-179.2642,-149.1653,-15.18988
-137.0421,-179.289,136.2851,-14.3541
163.5483,-179.2938,-143.8966,-15.07153
122.9529,-179.308,-143.9122,-14.85963
164.3123,-179.3134,165.4205,-15.13067
-0.869034,-179.3588,-55.65452,-14.61189
-112.9001,-179.3715,114.523,-14.41378
163.5483,-179.3717,123.2615,-15.07887
148.1369,-179.3771,95.7544,-15.02885
133.3894,-179.3788,-61.6753,-14.9869
-76.69324,-179.4496,-43.8053,-14.56452
